
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
1102, "Germany reoccupies Rhineland", "Germany reoccupies Rhineland", "In direct violation of both the treaties of Versailles and Locarno, the German government has today sent troops into the supposed demilitarized Rhineland.", "", "", "", "", "", ""
1103, "Danzig Annexed by Germany", "Danzig Annexed by Germany", "The Free City of Danzig has been abolished and assimulated into the German Reichsgau of Danzig-West Prussia.", "", "", "", "", "", ""
1104, "Stalin Comments on Report", "Stalin Says Reports of his Death are True", "Responding to reports of his death, Stalin joked that they are true and asked to be left in peace.", "", "", "", "", "", ""
1105, "Germany and Japan Sign Pact", "Germany and Japan sign Anti-Comintern Pact", "The two nations pledged cooperation in defending against the spread of communism, but this is widely viewed as a cover for a traditional military alliance meant to create its own sphere of influence.", "", "", "", "", "", ""
1106, "King Edward Abdicates", "King Edward Abdicates", "King Edward VIII abdicated the throne of Great Britain and the British Empire in order that he may marry a twice-divorced American, Wallis Warfield Simpson.  His brother, who will reign as George VI, has succeeded him.", "", "", "", "", "", ""
1107, "Roosevelt Wins 2nd Term", "Roosevelt Wins 2nd Term", "Seen as an endorsement for his New Deal, Franklin Roosevelt enjoyed a landslide victory, capturing 523 electoral votes against  Republican Alfred Landon's 8.", "", "", "", "", "", ""
1108, "Chamberlain now Prime Minister", "Chamberlain Becomes Prime Minister", "With the retirement of Stanley Baldwin, Conservative Neville Chamberlain has become Prime Minister of the United Kingdom, pledging that another European War will not occur.", "", "", "", "", "", ""
1109, "Hitler and Mussolini Meet in Munich", "Hitler and Mussolini Meet in Munich", "Much speculation abounds on the topics discussed by these two powerful Fascist leaders.", "", "", "", "", "", ""
111, "Critical Shortage Reported", "%s Critically short of %s", "Sources have reported that %s is currently suffering from a critical shortage of %s.  Officials have refused to comment on this growing problem.", "", "", "Acknowledge", "", "", ""
1110, "US Condemns Japan over China", "US Condemns Japan over China", "Abandoning their neutral stance over Japan's attacks on China, the United States have now officially condemned Japan's actions.", "", "", "", "", "", ""
1111, "Amelia Earhart Disappears", "Amelia Earhart Disappears", "American Aviatrix Amelia Earhart and her navigator, Fred Noonan have disappeared during her attempt to circle the globe.  Their plane is believed to have gone down about 100 miles from Howland Island in the South Pacific.", "", "", "", "", "", ""
1112, "Hindenburg Burns", "Hindenburg Burns", "The German dirigible, the Hindenburg, has been destroyed by fire in a disaster that has killed at least 33 of its 97 passengers and crew.  At the time of the incident, it was coming in for a landing at the Naval Air Station at Lakehurst, New Jersey after its Trans-Atlantic trip from Frankfurt am Main, Germany.", "", "", "", "", "", ""
1113, "Roosevelt Appoints Kennedy", "Roosevelt Appoints Kennedy Ambassador to UK", "President Roosevelt has appointed his longtime friend, Joseph Kennedy, as Ambassador to the United Kingdom.", "", "", "", "", "", ""
1114, "Chiang Kai-Shek Steps Aside", "Chiang Kai-Shek Steps Aside", "In a compromise with the Communists and to help focus the people of China to combat the Japanese and to not fight amongst themselves, Chiang Kai-Shek has stepped aside as Premier and appointed Hsiang-his Kung as his successor.", "", "", "", "", "", ""
1115, "Mexico Increases Tariffs on U.S.", "Mexico Increases Tariffs on U.S.", "Mexico has announced that they are increasing tariffs on imported goods from the United States by between 100-200 percent depending on the item.", "", "", "", "", "", ""
1116, "France Approves Military Buildup", "France Approves Military Buildup", "In response to the growing German militarization, France has approved plans to dramatically increase its own military spending.", "", "", "", "", "", ""
1117, "Hitler Promotes Himself", "Hitler Promotes Himself", "Adolf Hitler resolved growing tensions between his Cabinet and the German Army today by naming himself Supreme Commander of the German Armed Forces, forcing both Field Marshal Werner von Blomberg and General Werner von Fritsch to retire.", "", "", "", "", "", ""
1118, "Sudetenland Annexed by Germany", "Sudetenland Annexed by Germany", "British, French, and German leaders have signed the Munich Agreement which relegates the territory to German control and allows for the immediate occuputation of the Sudetenland by German troops.", "", "", "", "", "", ""
1119, "Zaolzie Annexed by Poland", "Zaolzie Annexed by Poland", "Worried that the German annexation of Sudetenland would spread beyond that area, Poland has forced Czechoslovakia to cede a border region and important railway junction to them.  The International Community has now labelled Poland as an accomplice of Nazi Germany in the partitioning of Czechoslovakia.", "", "", "", "", "", ""
112, "Critical Product Shortage", "", "Despite our best efforts, we are critically short of %s.  (Shortage: %s %s).  We were able to meet %s of demand.", "", "", "Acknowledge", "", "", ""
1120, "Carpathian Ruthenia Annexed", "Carpathian Ruthenia Annexed by Hungary", "Having massed troops on their border with Czechoslovakia earlier to support the German claim on Sudetenland, Hungary continued to apply pressure and with German support were allowed to take control of the Carpathian Ruthenia region enforcing another part of the First Vienna Award.", "", "", "Acknowledge", "Condemn Actions", "Support Actions", ""
1121, "Germans Control Bohemia", "Germans Control Protectorate of Bohemia and Moravia", "Declaring the unrest in Czecho-Slovakia was a threat to the German security, Hitler has sent his troops into Bohemia and Moravia, meeting virtually no resistance.", "", "", "", "", "", ""
1122, "Germans Control Slovak Republic", "Germans Control Slovak Republic", "Bowing to threats by Germany that they would allow Hungary to invade, the government of the Slovak Republic has aligned themselves with the Reich, essentially becoming a German Puppet State.", "", "", "", "", "", ""
1123, "Germany Annexes Memel Region", "Germany Annexes Memel Region", "Bowing to pressure from Germany and with no real support from France or the UK, Lithuania has allowed Germany to annex the Memel Region.  This comes only 5 days since the effective takeover of Czechoslovakia, further escalating tensions throughout Europe.", "", "", "Acknowledge", "Condemn Actions", "Support Actions", ""
1124, "Austro-German Agreement Signed", "Austro-German Agreement Signed", "In an attempt to appease Germany, Austria's Kurt Schuschnigg has signed the Austro-German agreement ending his anti-Nazi program and guaranteeing the inclusion of National Socialists in his Cabinet.", "", "", "", "", "", ""
1125, "Hitler Makes Threats", "Hitler Threatens Austria and Czechoslovakia", "In a speech today, Hitler proclaimed that the German Reich is no longer willing to tolerate the suppression of ten million Germans across its borders.  His speech is referring to the large populations of German people living within the current borders of Austria and Czechoslovakia.", "", "", "", "", "", ""
1126, "Schuschnigg Schedules Plebiscite", "Schuschnigg Schedules Plebiscite", "Austria's leader has announced plans to hold a referendum on possible unification with Germany.  Schuschnigg hopes that a public vote against unification will prevent Hitler from continuing to pursue this.  In response, Hitler has declared that Germany would not accept the results.", "", "", "", "", "", ""
1127, "German Ultimatum", "German Ultimatum and Schuschnigg Resigns", "Demanding that Schuschnigg hand over power to the Austrian National Socialists, Hilter has threatened Austria with an immediate invasion.  Realizing that neither France nor the United Kingdom would intervene, Schuschnigg has resigned and allowed the Nazis to take over the Austrian Government.", "", "", "", "", "", ""
1128, "Anschluss", "Anschluss", "With the fall of Austrian Government, German troops have today entered Austria with no resistance effectively annexing Austria into the Third Reich.  Hitler himself crossed the border this afternoon at Braunau, his birthplace.", "", "", "", "", "", ""
1129, "German Non Aggression Pacts", "Germany signs Non Agression Pacts", "Denmark, Estonia, and Latvia have all signed non-agression pacts with Germany today.  However, Norway, Sweden, and Finland refused to also sign.", "", "", "", "", "", ""
113, "Bond Interest Rates Exorbitant", "Bond Interest Rates Exorbitant", "The interest rates being charged us on new bond issues are getting very high.  We should consider major spending cuts to prevent future borrowing at these high rates.", "", "", "Agree.  Reduce spending", "Acknowledge", "", ""
1130, "Italy Invades Albania", "Italy Invades Albania", "Facing little resistance, Italian forces have invaded the small Balkan kingdom of Albania.  King Zog has fled and is expected to seek asylum in Greece.", "", "", "", "", "", ""
1131, "Pact of Steel Signed", "Germany and Italy Sign Pact of Steel", "At the official signing of their formal alliance agreement, German and Italian leaders spoke of an invincible bloc of 300 million people wherein Germany would rule on land and Italy on sea in times of war.", "", "", "", "", "", ""
1132, "German Russian Treaty Signed", "German Russian Treaty Signed", "Shocking Western European leaders, Germany and the USSR have signed a non-aggression pact.  This action is seen to further isolate Poland and make it easier for Hitler to use his army as he sees fit.", "", "", "", "", "", ""
1133, "Britain Announces Naval Buildup", "Britain Announces Naval Buildup", "UK today has announced plans to significantly modernize the Royal Navy with the construction of 38 new warships.", "", "", "", "", "", ""
1134, "Japan Makes Demands of China", "Japan Makes Demands of China", "It has been reported that Japan has issued a series of secret demands to the Nationalist government and threatened immediate invasion of north and central China if they are not met.", "", "", "", "", "", ""
1135, "Mexico Nationalizes Companies", "Mexico nationalizes American Oil Companies", "US owned Oil Companies have all been nationalized by the Mexican government, further straining relations between these two nations.", "", "", "", "", "", ""
1136, "Mexico Nationalizes Companies", "Mexico nationalizes British Oil Companies", "British owned Oil Companies in Mexico have all been nationalized by the local government, further straining relations between these two nations.", "", "", "", "", "", ""
1137, "Trade war between US and Mexico", "Trade war between US and Mexico escalates", "In retaliation for the nationalization of American owned oil companies by the Mexican government, the United States has imposed a halt on the purchase of Mexican silver.", "", "", "", "", "", ""
1138, "Mexico breaks relations with UK", "Mexico breaks relations with UK", "In response to the escalating trade war between the two countries, Mexico has broken diplomatic relations with the United Kingdom.", "", "", "", "", "", ""
1139, "Japan / USSR Border Clash", "Soviet / Japanese forces in border clash", "A clash between borders forces along the Manchukuo-Korea frontier have significantly increased tensions in the area.", "", "", "", "", "", ""
114, "Drug Use Increasing", "", "Our region is experiencing a growing problem with Drug Abuse.  This can be the result of many factors.  I recommend taking steps to try to curb the problem.", "", "", "Agree.  Take social action", "Deny.  Leave policies / funding ¶as is", "Postpone decision", ""
1140, "Soviet / Japanese Tensions Ease", "Soviet / Japanese Tensions Ease", "An uneasy truce has settled along the Manchukuo-Korean border between Japanese and Soviet troops, temporarily removing fears of further escalation.", "", "", "", "", "", ""
1141, "Germany / France Friendship", "Germany and France sign Friendship Agreement", "In hopes of reducing tensions throughout Europe, France and Germany have signed a Treaty of Friendship signifying that neither nation has ambitions towards the other.", "", "", "", "", "", ""
1142, "Italy disavows Treaty with France", "Italy disavows Treaty with France", "Following French refusal to cede Tunisia, Corsica, and French Somaliland to Italy, the Italian government has renounced its Treaty of Friendship with France.", "", "", "", "", "", ""
1143, "Turkey annexes Hatay", "Turkey annexes Hatay, previously owned by Syria.", "Following a time of transition, Hatay has now become part of Turkey.", "", "", "", "", "", ""
1144, "UK Issues Warning to Germany", "UK warns Germany, attack on Czechoslovakia could mean war.", "UK warns Germany, attack on Czechoslovakia could mean war.", "", "", "", "", "", ""
1145, "French Government Moved", "French Government moves to Vichy.", "French Government moves to Vichy.  What remains of France will now be known as Vichy France.", "", "", "", "", "", ""
1146, "Second Italo-Ethiopian War", "Second Italo-Ethiopian War is in progress.", "Second Italo-Ethiopian War is in progress.  Italians are pressing into Ethiopia from the north and from the south.", "", "", "", "", "", ""
1147, "Chamberlain Recalls German Envoy", "Chamberlain recalls the 'Envoy to Germany.'", "Chamberlain shows his displeasure surrounding the events in  the breakup of Czechoslovakia by recalling the 'Envoy to Germany'.", "", "", "", "", "", ""
1148, "Chamberlain Reassures Poland", "Chamberlain reasserts British aid offer to Poland in case of attack.", "In the case of an attack against Poland, British Prime Minister Neville Chamberlain restates the offer of assistance.", "", "", "", "", "", ""
1149, "Objective: DOW on Canada", "Objective: Start - DOW on Canada", "For reasons unknown, we must declare war on Canada within 15 days.", "", "", "", "", "", ""
115, "Crime Rate Increasing", "Warning : Crime Rate Increasing", "The Crime Rate within our region has grown significantly.  I strongly recommend improving funding to Law Enforcement.", "", "", "Agree.  Increase Law Enforcement funds", "Deny.  Leave funding as is", "Postpone decision", ""
1150, "Objective Success", "Objective: Success - DOW on Canada", "Success - we have declared war on Canada.  Now let's steal their poutine!", "", "", "", "", "", ""
1151, "Objective: Failure", "Objective: Failure - DOW on Canada", "Failure - to declare war on Canada.  We get no poutine!", "", "", "", "", "", ""
1152, "Objective - Declare war!", "Objective declare war", "You must declare war with the United States in 3 days, if we succeed our people are happy and our capital will move to Hamilton!  Otherwise it will move to Windsor, the Arm-Pit Capital of the world.", "", "", "", "", "", ""
1153, "Success!", "Success!", "We declared war! Our capital has moved!  To Hamilton.", "", "", "", "", "", ""
1154, "Failure!", "Failure!", "We failed! Our capital has moved to a lower standard of living... Windsor!", "", "", "", "", "", ""
1155, "Gameplay Tutorial:  SR1936", "Gameplay Tutorial", "Welcome to the Supreme Ruler 1936 Tutorial.  This tutorial uses our OBJECTIVES system and will guide you through the basics of the game.  When you are ready to begin, click 'NEXT'.", "", "", "", "", "", ""
1156, "Titlebar", "Titlebar", "The area across the top of your screen is the TITLE BAR.  Here you can find your country's information such as flag, name, and treasury.  The game MENU can be called using a button here, or by pressing the hotkey <ESC>. ", "", "", "", "", "", ""
1157, "Game Speed", "Game Speed", "SR1936 is a real-time strategy game.  You can give orders and change settings while time is paused but time will need to move forward for actions to occur (and to complete objectives in this tutorial).  One full rotation of the clock is a new day.  NEW OBJECTIVE >>> Set the game speed to slow now.  (Speed controls are located in the title bar at the top of the screen.  You can also use the hotkeys PAGEUP, PAGEDOWN, and PAUSE to control game speed and to pause time.)", "O", "", "", "", "", ""
1158, "Objectives", "Objectives", "Great, you've started time running.  Along the titlebar you will also find the place for game OBJECTIVES.  Some objectives will give you the option to 'accept' it.  Others will 'auto-accept'.  Rewards (and penalties) will be mentioned in the initial objective.  ", "", "", "", "", "", ""
1159, "Government Overview", "Government Overview", "Government controls and actions are divided into departments anchored to the bottom left corner of your screen.  Departments can also be opened by using HOTKEYS <F2> through <F8>. ", "", "", "", "", "", ""
116, "Units Upgrades Available", "", "Any production currently of %s type units could be upgraded as we now have access to designs for a %s.", "", "", "Acknowledge", "", "", ""
1160, "Cabinet Ministers", "Cabinet Ministers", "If a department has a cabinet minister many game actions will be performed by that minister for you.   You can find cabinet minister settings using the first 'quick button' in each department, which opens a new panel.  Each minister can be assigned priorities which will guide their automatic actions.  In some situations you can LOCK the minister from certain areas of action, helpful when you want to take a hands-on approach.  >>> Set one priority for each cabinet minister now.  ", "", "", "", "", "", ""
1161, "Navigation", "Navigation", "You can navigate the map in several ways.   Left-clicking many flags will center you on that region's capital.  Scrolling with your mouse will zoom the map.  Holding over the map will zoom centered over your mouse cursor.  Touch the sides, top and bottom of the screen will move the map and the mini-map is useful too.  ", "", "", "", "", "", ""
1162, "Minimap", "Minimap", "Mouse scrolling over the minimap will zoom using center of the screen.  Around the minimap are buttons for zooming as well.   Click the minimap to jump to that location.", "", "", "", "", "", ""
1163, "Alerts", "Alerts", "Alert messages are displayed in two ways.  The alerts panel at the side of your screen contains alerts sorted into categories.  Hold over a category, to see a list.  Some alerts are also shown as 'on-map notices' and are location specific.  Messages may appear multiple times - as an alert and on the map in multiple locations.", "", "", "", "", "", ""
1164, "Test 1", "", "Test 1...", "", "", "", "", "", ""
1165, "Test 2", "", "Test 2...", "", "", "", "", "", ""
1166, "Test 3", "", "Test 3...", "", "", "", "", "", ""
1167, "Test 4", "", "Test 4...", "", "", "", "", "", ""
1168, "Test 5", "", "Test 5...", "", "", "", "", "", ""
1169, "Test 6", "", "Test 6...", "", "", "", "", "", ""
117, "Off the record...", "", "We have serious issues with our Production facilities and capacity.  Major capital investment is required to resolve this issues.  I suggest you give these problems your personal attention.", "The only way to resolve some of our production issues is through a major investment in new facility construction.  You need to take action on this urgently.", "We are having difficulties with a number of  in the Commerce and Production Department.  I suggest you take some control and try to turn things around.", "Acknowledge", "", "", ""
1170, "Test 7", "", "Test 7...", "", "", "", "", "", ""
1171, "Test 8", "", "Test 8...", "", "", "", "", "", ""
1172, "Test 9", "", "Test 9...", "", "", "", "", "", ""
1173, "Increase Land Build Capacity", "Increase our Military", "Grow our military.  Increase our 'Land Build Capacity' to 8.  We have 180 days to complete this to gain extra political support and funding.  >>> To review our current 'build capacities' select the Defense Department and pick the LAND branch.", "Success", "Fail", "", "", "", ""
1174, "Success", "Objective - Success", "We have met our goal to increase our 'Land Build Capacity'.   We have received $1 Million in extra funding.", "", "", "", "", "", ""
1175, "Not Completed", "Objective - Not Met", "We have not met the goal to increase our 'Land Build Capacity'.  We have had to spend $1 Million to maintain public opinion.", "", "", "", "", "", ""
1176, "Increase Air Build Capacity", "Increase our Air Build Capacity", "Increase our 'Air Build Capacity' to 4.  In the event of war it will be crucial to have Air Superiority over Europe.  We have 180 days to complete this to gain extra political support and receive political funding. ", "Success", "Fail", "", "", "", ""
1177, "Success - Air Build", "Success - Air Build", "We have increased our 'Air Build Capacity'.  We have received $1 Million in funding.", "", "", "", "", "", ""
1178, "Fail - Air Build", "Fail - Air Build", "We have failed.  At this rate, will we gain air superiority?", "", "", "", "", "", ""
1179, "Increase Naval Build Capacity", "", "Increase our Naval Build Capacity to 3.  We need to protect our coastline in the event of war.  We have 180 days to complete this task.", "Success", "Fail", "", "", "", ""
118, "Unit Construction", "", "We currently have %s unused %s Unit Constructions slots.  I recommend we increase our build orders to take advantage of this additional capacity.", "", "", "Agree", "Deny", "Postpone decision", ""
1180, "build naval capacity - success", "", "Success - we have increased our naval build capacity to 3.", "", "", "", "", "", ""
1181, "build naval capacity - fail", "", "Not completed.  How can we defend our coast if we can't build our own ships and subs?", "", "", "", "", "", ""
1182, "Objectives Continued", "Objectives Continued", "Additional objective information can we found inside each objective.  At times you may see an icon offering more HELP.  Hold over the icon to get extra details.", "", "", "", "", "", ""
1183, "SR1936 Tutorial", "Welcome", "Welcome to the tutorial.  Click next to continue.  ", "wording 2", "wording 3", "Click to Continue", "", "", ""
1184, "SR1936 Game Speed", "Game Speed", "SR1936 is a real time game.  You can issue orders and perform actions while time is paused.  Speed controls are up in the TITLEBAR.  To get things moving, start the game on 'slow'.   Hot keys <PAGEUP> <PAGEDOWN> <PAUSE>", "WORDING 2", "WORDING 3", "Click to Continue", "", "", ""
1185, "_Threat Looms", "Threat Looms", "We have been fighting a long civil war but have recently put aside our differences to concentrate on a common threat.  We know Japan would like to increase their power and influence into the Asian mainland.  We must prepare.  We must rebuild our nation and prepare for the inevitable.  ", "We must prepare against the Japanese threat.", "", "", "", "", ""
1186, "_Grow our Army", "Grow our Army", "Start by training and building a larger army.  To build more troops we need build capacities and designs for a given branch of our military.  Visit the Defense Department, review our capacity and fill the production queue.  Queue 7 Land Unit Designs.  (HELP)", "We are growing our army.  ", "", "", "", "", ""
1187, "_Deploy an Army", "Deploy an Army", "Let's also improve our military readiness.  To defend against an attack we must have an active army.  Deploy 25 Land battalions.  (HELP)", "We have deployed our armed forces.", "", "", "", "", ""
1188, "Improve our Army", "Research", "We can improve our army by researching new technologies.  Some research will unlock future unit designs while others will directly improve our standing army.  Go to the RESEARCH DEPARTMENT and research 'Grenade Fusing'.  ", "We have researched a new technology.", "", "", "", "", ""
1189, "Tutorial", "Welcome¶", "During this tutorial, objectives will help to prepare you for a possible invasion from Japan. ¶¶  To achieve a national victory and help to unite China we must complete all of our current goals by their deadlines.  ¶¶ After pressing ACCEPT, time will automatically resume.  (See 'HELP' for details and look for the highlighted 'Game Speed' button.  Increase the 'Game Speed' if you are waiting awhile for the next objective.)", "After pressing ACCEPT, time will automatically resume.  (See 'HELP' for details and look for the highlighted 'Game Speed' button.  Increase the 'Game Speed' if you are waiting awhile for the next objective.)", "After pressing ACCEPT, time will automatically resume.  (See 'HELP' for details and look for the highlighted 'Game Speed' button.  Increase the 'Game Speed' if you are waiting awhile for the next objective.)", "", "", "", ""
1190, "Threat Looms", "Prepare for a Japanese Invasion¶", "The civil war has been waged long enough.  We have recently put aside our differences and must focus our attention on a common threat.  We know Japan would like to increase their power and influence into the Asian mainland.  We must prepare.  We shall work to rebuild our nation and be ready for the inevitable. ¶¶You will soon see several objectives and associated help messages.  Follow them to complete the tutorial. ¶¶Click OK to continue.  (Review the HELP while waiting for your next objective.)", "Prepare for an invasion from Japan by following the tutorial objectives.  (If needed, increase game speed to get your next objective.  We suggest not running time too fast.)", "Prepare for an invasion from Japan by following the tutorial objectives.  (If needed, increase game speed to get your next objective.  We suggest not running time too fast.)", "", "", "", ""
1191, "Grow Our Army", "Queue 7 Land Unit Designs¶Before April 1, 1936", "To protect our nation, we'll need to grow our army.  Train more troops to help defend against a Japanese Invasion.  ¶¶In the DEFENSE Department, review our current capacity and Queue 7 Land Unit Designs.¶¶To stay on target, we have until April 1, 1936 to build these new units.", "We are on our way to defending our country.  Let's continue the effort!", "You did not complete this task on time.  We need to build an army or we won't be prepared in time.", "", "", "", ""
1192, "Deploy an Army", "Deploy 50 Land Units¶Before May 1, 1936", "We must mobilize our armed forces.  Review our reserved army and deploy more than 50 battalions.  A mixture of unit classes is our best option.¶¶We have until May 1, 1936 to deploy our reserves.", "Well done!  We just might be ready for the invasion.  ", "We have not mobilized our troops.  What are we waiting for?  An invitation?", "", "", "", ""
1193, "Garrison Preparations", "Set 5 Garrisons in NANJING¶by June 1, 1936", "Protect our Cities - We need to ensure that our cities are protected.  Start by placing 5 or more Garrison units in our capital.  (Also consider placing some along our coast and the border shared with Manchukuo.¶¶We have until June 1, 1936 to set up Garrisons.", "Well done.  Garrisons will surely help to defend our towns and ports.", "We must prepare for an invasion.  Garrisons are vital to our defense.  Will we be ready in time?", "", "", "", ""
1194, "Research", "Research Radio Guidance Systems¶before Oct 10, 1936", "Our people need to make their ideas a reality and by doing so, we can improve our army.  Let's put our most talented scientists to work!  Research Radio Guidance Systems.¶¶We have until Oct 10, 1936 to complete this research project.¶¶Note - Radio Guidance Systems is in the 'Technology' category.  (If not in the available projects list see if your minister has already added it to the project queue.)", "Great progress!  We are on our way to protecting our nation through advances in research.", "We are not meeting our deadlines.  Advances in research can help us defend our nation... if we complete our projects on time.", "", "", "", ""
1195, "Build Army Production", "Build 3 Land Production Facilities¶by August 1, 1936", "We must now increase our army production capacity.  This will allow us to train more troops at the same time and increase our deployed numbers. ¶¶Construct 3 more Land Production Facilities by August 1, 1936.¶¶(We must have a total of 10 Land Production Facilities in ACTIVE status to complete this objective.)", "Well done.  Now we can build even more troops.  Will it be enough to stop Japan?  Only time will tell.", "This is not good.  Without numbers we can't help to hold off an attack from Japan when they come.", "", "", "", ""
1196, "Move Command Unit", "'Command Unit' to Shanghai.¶by September 1, 1936", "We need to assert our command presence outside of our capital.  Drive our COMMAND UNIT from %s to %s.  Use HELP for how to select and find your command unit.  After selecting the unit, Right-Click on the map to give unit move orders.¶¶You have until September 1, 1936.", "You have done it.  Our Command Unit is in place. ¶¶Also, having a good level of supply will help our military to effectively defend our nation.", "Reports show that Japan is still planning something.  Will we be ready?", "", "", "", ""
